iter	Passed	Remaining
0	279	111374
1	395	78723
2	455	60237
3	554	54892
4	646	51112
5	693	45508
6	786	44158
7	872	42735
8	917	39879
9	1008	39316
10	1113	39389
11	1159	37498
12	1191	35473
13	1284	35423
14	1318	33844
15	1382	33177
16	1459	32880
17	1551	32921
18	1648	33062
19	1738	33034
20	1830	33035
21	1877	32267
22	1976	32398
23	2055	32207
24	2149	32236
25	2242	32258
26	2319	32044
27	2396	31836
28	2460	31479
29	2562	31607
30	2623	31228
31	2688	30919
32	2736	30437
33	2782	29953
34	2864	29869
35	2961	29946
36	3056	29990
37	3151	30022
38	3199	29619
39	3279	29518
40	3317	29045
41	3350	28559
42	3411	28320
43	3516	28452
44	3582	28263
45	3687	28376
46	3734	28047
47	3809	27936
48	3856	27626
49	3954	27682
50	4034	27607
51	4069	27232
52	4144	27137
53	4192	26865
54	4254	26689
55	4361	26789
56	4459	26834
57	4510	26595
58	4577	26457
59	4685	26550
60	4706	26154
61	4816	26255
62	4910	26267
63	4971	26100
64	5086	26217
65	5109	25854
66	5149	25593
67	5196	25369
68	5264	25256
69	5300	24989
70	5334	24718
71	5383	24522
72	5431	24330
73	5531	24369
74	5551	24058
75	5618	23953
76	5716	23978
77	5777	23848
78	5811	23612
79	5843	23374
80	5934	23373
81	5968	23144
82	6029	23028
83	6047	22750
84	6110	22645
85	6207	22665
86	6302	22674
87	6320	22410
88	6354	22203
89	6390	22012
90	6483	22015
91	6585	22048
92	6689	22081
93	6792	22111
94	6867	22048
95	6886	21808
96	6904	21567
97	6964	21462
98	7010	21315
99	7029	21088
100	7121	21082
101	7152	20896
102	7185	20718
103	7251	20639
104	7306	20528
105	7326	20321
106	7393	20245
107	7456	20160
108	7475	19958
109	7539	19877
110	7607	19808
111	7660	19698
112	7774	19745
113	7823	19627
114	7847	19447
115	7945	19453
116	7965	19266
117	7984	19081
118	8003	18899
119	8069	18828
120	8117	18717
121	8213	18715
122	8305	18705
123	8341	18566
124	8405	18492
125	8423	18318
126	8515	18304
127	8576	18225
128	8627	18123
129	8687	18043
130	8805	18081
131	8826	17919
132	8843	17754
133	8918	17704
134	8979	17626
135	9010	17491
136	9029	17333
137	9049	17180
138	9094	17077
139	9184	17056
140	9277	17042
141	9428	17130
142	9463	17008
143	9496	16882
144	9613	16906
145	9708	16890
146	9736	16757
147	9834	16745
148	9933	16733
149	9953	16588
150	9971	16442
151	10005	16324
152	10045	16217
153	10086	16112
154	10207	16133
155	10225	15994
156	10308	15955
157	10343	15843
158	10378	15730
159	10470	15705
160	10517	15613
161	10535	15478
162	10615	15434
163	10706	15407
164	10726	15276
165	10786	15204
166	10831	15112
167	10878	15022
168	10970	14995
169	11070	14977
170	11177	14968
171	11279	14951
172	11320	14854
173	11397	14804
174	11473	14751
175	11552	14703
176	11651	14679
177	11720	14617
178	11804	14573
179	11898	14542
180	11962	14474
181	12056	14441
182	12102	14350
183	12134	14244
184	12242	14228
185	12339	14197
186	12437	14166
187	12532	14132
188	12631	14101
189	12730	14070
190	12821	14030
191	12922	13999
192	13017	13962
193	13096	13906
194	13188	13864
195	13280	13823
196	13372	13780
197	13465	13737
198	13560	13696
199	13656	13656
200	13751	13614
201	13864	13590
202	13965	13552
203	14059	13508
204	14155	13464
205	14256	13426
206	14336	13366
207	14427	13318
208	14536	13284
209	14640	13245
210	14736	13200
211	14823	13145
212	14918	13097
213	15014	13049
214	15105	12997
215	15202	12950
216	15302	12904
217	15418	12872
218	15513	12821
219	15610	12771
220	15701	12717
221	15795	12664
222	15889	12611
223	15981	12556
224	16083	12509
225	16175	12453
226	16273	12402
227	16374	12352
228	16487	12311
229	16584	12258
230	16679	12202
231	16781	12152
232	16908	12119
233	17003	12062
234	17094	12002
235	17185	11942
236	17281	11885
237	17376	11827
238	17467	11766
239	17559	11706
240	17655	11648
241	17749	11588
242	17846	11530
243	17944	11472
244	18044	11415
245	18143	11357
246	18235	11295
247	18326	11232
248	18428	11175
249	18518	11111
250	18610	11047
251	18717	10992
252	18833	10942
253	19019	10932
254	19125	10875
255	19277	10843
256	19397	10792
257	19500	10733
258	19605	10673
259	19704	10610
260	19804	10547
261	19900	10482
262	19995	10415
263	20088	10348
264	20180	10280
265	20274	10213
266	20369	10146
267	20468	10081
268	20563	10014
269	20660	9947
270	20757	9880
271	20850	9812
272	20942	9742
273	21049	9679
274	21143	9610
275	21240	9542
276	21336	9474
277	21430	9404
278	21525	9335
279	21621	9266
280	21756	9213
281	21866	9149
282	21968	9082
283	22071	9015
284	22167	8944
285	22262	8873
286	22359	8803
287	22478	8741
288	22584	8674
289	22685	8604
290	22792	8537
291	22897	8468
292	22994	8397
293	23093	8326
294	23194	8255
295	23296	8185
296	23413	8119
297	23600	8078
298	23751	8023
299	23971	7990
300	24075	7918
301	24173	7844
302	24283	7773
303	24396	7704
304	24514	7635
305	24624	7564
306	24730	7491
307	24828	7416
308	24920	7339
309	25015	7262
310	25133	7192
311	25232	7116
312	25328	7040
313	25420	6962
314	25514	6884
315	25604	6806
316	25698	6728
317	25795	6651
318	25887	6573
319	25979	6494
320	26083	6419
321	26185	6343
322	26284	6265
323	26385	6189
324	26479	6110
325	26580	6033
326	26688	5957
327	26787	5880
328	26882	5801
329	26981	5723
330	27094	5648
331	27200	5571
332	27307	5494
333	27408	5416
334	27507	5337
335	27605	5258
336	27708	5180
337	27809	5101
338	27910	5022
339	28006	4942
340	28099	4861
341	28164	4776
342	28253	4695
343	28347	4614
344	28444	4534
345	28536	4453
346	28630	4372
347	28720	4291
348	28824	4212
349	28919	4131
350	29026	4052
351	29122	3971
352	29222	3890
353	29312	3808
354	29406	3727
355	29505	3646
356	29596	3564
357	29691	3483
358	29790	3402
359	29887	3320
360	29988	3239
361	30087	3158
362	30199	3078
363	30309	2997
364	30409	2915
365	30508	2834
366	30616	2752
367	30706	2670
368	30800	2587
369	30888	2504
370	30986	2422
371	31076	2339
372	31173	2256
373	31267	2173
374	31358	2090
375	31450	2007
376	31544	1924
377	31644	1841
378	31738	1758
379	31832	1675
380	31921	1591
381	32010	1508
382	32189	1428
383	32369	1348
384	32567	1268
385	32668	1184
386	32764	1100
387	32860	1016
388	32959	932
389	33054	847
390	33156	763
391	33255	678
392	33354	594
393	33448	509
394	33546	424
395	33647	339
396	33761	255
397	33864	170
398	33963	85
399	34055	0
